entry_date,entry_px,exit_date,exit_px,ret_pct,days
2010-10-27,0.8917,2011-06-07,0.9599,7.648312212627562,223
2012-01-17,0.9203,2012-07-06,1.0897,18.407041182223182,171
2012-09-27,1.3789,2012-12-14,1.0653,-22.74276597287693,78
2013-03-27,1.2534,2015-08-10,3.4175,172.65836923567895,866
2015-12-02,3.5875,2016-02-23,2.7145,-24.334494773519154,83
2016-05-20,3.1574,2018-11-13,10.4457,230.83233039842912,907
2019-04-05,13.6761,2020-04-06,11.6824,-14.577986414255529,367
2020-07-29,22.7181,2022-03-04,48.5358,113.64374661613428,583
2023-02-27,26.1442,2023-11-03,45.1053,72.52507248261564,249
2023-12-11,58.3491,2024-11-01,78.1316,33.90369345885371,326
2024-12-12,91.7824,2025-03-12,59.7577,-34.89198364828114,90
2025-07-17,95.6546,2026-03-03,98.0378,2.491464080138339,229
2026-05-07,174.84,2026-06-17,216.97,24.09631663234957,41
